gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,1,0,0,-1.2773538915070017,0,2,1,0,0,1,0,0,1,0,1,0,-0.834551450819645,-0.9898423572711516,1
1,0,1,0,-0.8294616909488475,1,0,0,2,2,2,2,2,2,1,0,2,-1.4942380221155562,-0.9180629035468457,0
1,0,0,0,-1.2773538915070017,1,0,0,2,2,2,2,2,2,0,0,1,-1.4826062689692807,-0.9984505943414096,1
0,0,1,0,1.0435420568397975,1,1,1,0,1,0,1,0,0,2,1,3,-0.16157144735656181,0.5399738045301757,0
1,0,1,1,0.6770848018376713,1,0,1,1,1,0,1,0,0,0,0,3,-0.1715415214819407,0.3038873847776618,0
0,0,0,0,-0.0965471809445951,1,0,1,1,1,0,0,0,0,0,1,2,-0.31444591727904003,-0.3316653798403161,0
1,0,1,1,0.5956498562816432,1,1,2,0,1,0,0,1,1,0,1,0,1.1494933001307779,1.0891572572098973,1
1,0,1,1,-1.2773538915070017,0,2,1,0,1,0,0,0,0,0,0,0,-1.1486087857690837,-0.9940140413898152,1
1,0,1,0,1.6135866757319937,1,1,1,1,1,1,1,1,1,2,1,3,0.8470677183276148,1.8044355405401116,0
0,0,0,1,-0.6258743270587773,1,0,1,0,0,0,0,1,1,0,1,1,-0.002050261350497486,-0.5247989038525167,1
0,1,1,0,1.5728692029539797,1,1,2,1,1,1,1,0,0,2,1,3,1.0497925588769879,1.9799111423569111,0
1,1,1,0,-1.2366364187289876,1,0,2,0,0,1,0,1,1,0,1,3,1.0215440155217475,-0.9271567334774773,0
0,0,1,1,-0.21869959927863716,1,0,1,1,1,1,1,0,0,1,0,1,0.04613843025550116,-0.17987346616809843,0
1,0,0,0,-1.2773538915070017,1,0,0,2,2,2,2,2,2,0,0,2,-1.4809445899483842,-0.9984285219386655,0
1,1,0,0,-1.2773538915070017,1,0,1,0,0,0,0,0,0,0,0,2,-0.6484434004792368,-0.9873702481637954,0
0,0,1,1,1.6135866757319937,1,1,2,1,1,0,1,1,0,2,0,2,1.16777176936064,2.1939030869624294,0
1,0,0,0,-1.1144840003949457,1,0,2,0,0,0,0,0,0,0,1,0,0.1641176407391527,-0.867450884054277,1
0,0,0,0,0.5549323835036292,1,0,2,0,0,1,0,0,0,0,1,3,0.3336089008705957,0.5590443605012092,0
1,0,0,0,0.06632271016746097,1,1,2,0,1,1,0,1,1,0,1,0,1.3821283630562882,0.5594637361533499,1
0,0,0,0,-0.8701791637268614,1,1,2,0,0,1,0,1,1,0,1,2,1.099642929503883,-0.5193690927774308,1
1,0,1,1,-0.9108966365048755,1,0,1,0,1,0,0,0,0,1,0,1,-0.5055390046821377,-0.7973489329385343,0
0,0,1,1,1.5321517301759657,1,1,1,1,1,0,0,1,0,2,1,3,0.1475008505301877,1.1435436575717333,0
0,0,1,1,-0.6258743270587773,1,0,0,2,2,2,2,2,2,1,0,1,-1.4626661207185228,-0.8227101236916792,0
0,0,0,0,1.2471294207298675,1,1,1,1,1,1,1,1,0,2,1,3,0.5014384819811423,1.1387318737734862,0
0,0,1,0,-0.7887442181708334,1,1,1,1,1,0,1,1,0,0,1,0,0.3801359134556979,-0.5740865791804303,0
0,0,0,0,0.6770848018376713,1,1,2,0,0,0,0,0,1,0,1,0,0.6559746309245171,0.7172593433720038,0
1,0,0,0,-1.2366364187289876,1,0,1,0,1,0,0,0,0,0,0,1,-0.5155090788075166,-0.9645253113234951,0
0,0,0,0,-1.2366364187289876,1,0,2,0,0,0,0,1,0,0,1,0,0.5280253463154867,-0.9437110355356659,1
1,0,0,0,0.7992372201717133,1,1,1,1,0,0,1,1,1,2,1,3,0.4981151239393495,0.8545938332467368,0
0,0,1,1,1.4914342573979515,1,1,1,1,0,1,1,0,0,2,1,3,-0.02032873058035891,0.8706183976390635,0
0,1,0,0,0.43277996516958717,1,1,2,0,1,0,0,1,0,0,1,0,0.8470677183276148,0.687262948042566,0
0,0,0,0,-0.7073092726148054,1,0,2,1,1,0,0,1,1,0,1,3,1.1411849050262954,-0.3776642671593361,1
0,1,1,0,-0.3001345448346652,1,1,1,1,0,0,1,1,0,0,1,3,0.15747092465556659,-0.23364183925309506,0
0,1,1,0,-0.9923315820609035,1,1,2,0,1,0,0,0,0,0,1,3,0.5280253463154867,-0.7277767194886535,1
0,1,1,1,1.1249770023958254,1,0,1,1,1,1,1,0,1,1,1,3,0.3352705798914921,0.9599012667395608,0
1,1,0,0,-0.5851568542807634,1,1,2,0,0,0,0,1,1,0,1,0,1.0198823365008511,-0.23368598405858362,1
0,0,1,1,1.2471294207298675,1,1,2,1,0,0,0,1,1,1,1,3,1.1594633742561573,1.7787211913430585,0
1,1,1,1,1.3692818390639097,1,1,2,0,1,1,1,1,1,1,1,0,1.4519188819339417,2.1164951705383395,0
0,0,1,1,0.06632271016746097,1,1,0,2,2,2,2,2,2,2,0,3,-1.3230850829632164,-0.6125587771636607,0
0,0,0,0,1.6135866757319937,1,1,2,0,0,1,1,1,1,2,1,3,1.420346980536908,2.4596548160032174,0
0,0,1,0,0.5956498562816432,1,1,2,0,0,1,0,1,1,0,1,0,1.1877119176113977,1.0705943665019821,0
1,0,0,0,1.1249770023958254,1,1,2,0,1,0,0,1,0,0,1,2,0.8354359651813396,1.3988551401144902,0
1,0,1,0,1.6135866757319937,0,2,1,1,1,1,0,0,0,2,0,2,-0.7531291787957164,0.300223365922116,0
0,0,1,1,-0.5851568542807634,1,0,1,0,0,1,1,0,0,1,1,3,-0.34435613965517703,-0.5848358393168808,0
0,0,0,0,-0.9516141092828895,1,1,2,0,0,0,0,1,1,0,0,0,0.9849870770620247,-0.628914427597151,1
0,0,0,0,-1.1959189459509736,1,0,1,0,1,0,1,1,1,0,1,0,0.3502256910795607,-0.8995883024499073,0
1,0,1,0,0.5956498562816432,1,1,2,0,1,0,0,0,0,1,1,0,0.46986658058410913,0.6040941345022264,0
0,0,0,0,-0.05582970816658108,1,0,1,0,1,1,1,1,1,2,0,1,0.47983665470948805,0.09503831001155394,0
0,0,1,1,0.7178022746156852,1,0,0,2,2,2,2,2,2,2,0,2,-1.4826062689692807,-0.5964017783548685,0
1,0,0,0,-0.9108966365048755,1,0,2,1,0,1,0,0,0,0,1,1,0.5014384819811423,-0.6156268411451117,0
1,0,0,0,-1.2773538915070017,1,0,1,0,0,0,1,0,0,0,0,1,-0.5221557948911028,-0.9856927455552322,0
0,0,1,1,0.7992372201717133,1,0,0,2,2,2,2,2,2,1,1,0,-1.4742978738647983,-0.5258804515869849,0
1,1,1,1,1.2878468935078815,1,1,2,1,0,1,1,1,1,2,1,2,1.5566046602504209,2.1264939689814852,0
1,0,1,1,1.2064119479518536,1,1,0,2,2,2,2,2,2,2,1,2,-1.3463485892557676,-0.37845887365812925,0
0,0,0,1,-1.1959189459509736,1,0,1,1,0,0,1,0,1,0,1,2,-0.008696977434083587,-0.9290328877107387,0
0,1,0,0,0.9621071112837694,1,1,2,1,1,1,0,1,1,1,0,0,1.520047721790698,1.702924560319299,0
0,0,0,0,0.5549323835036292,1,0,1,0,0,0,0,0,1,1,0,3,-0.30281416413276446,0.17964182973027,0
0,0,1,1,-0.9923315820609035,1,0,1,1,1,0,0,0,0,0,0,1,-0.33604774455069447,-0.7944574481790373,0
1,1,0,0,-0.0965471809445951,1,0,1,1,1,0,0,1,1,0,1,0,0.33194722184969927,-0.075316494368579,0
0,0,1,1,0.5142149107256152,1,1,0,2,2,2,2,2,2,1,1,3,-1.291513181566183,-0.4702800690742155,0
0,0,0,1,-1.2773538915070017,1,0,2,0,0,0,0,1,0,0,1,0,0.48482169177217727,-0.972316869492216,1
0,0,1,1,-0.8701791637268614,0,2,1,1,0,0,0,1,1,0,0,0,-0.4723054242642077,-0.7577731148180913,0
0,0,1,0,-1.0330490548389175,1,0,2,0,0,1,0,0,0,0,1,2,0.3452406540168715,-0.7879902341749716,1
0,0,0,0,0.39206249239157315,1,0,2,0,1,1,1,1,1,0,1,2,1.2973827329905667,0.9030206848676245,0
0,0,1,0,0.6770848018376713,1,0,0,2,2,2,2,2,2,2,1,2,-1.4826062689692807,-0.5776623084249991,0
1,0,0,0,-0.9516141092828895,1,1,2,0,1,0,0,1,1,0,1,3,1.1478316211098816,-0.6017653722217217,0
0,0,1,0,0.10704018294547499,1,0,1,1,0,0,0,1,0,1,1,2,-0.08679589141621923,-0.02933967945230328,0
0,0,1,1,0.6363673290596572,1,0,0,2,2,2,2,2,2,2,0,2,-1.4659894787603158,-0.5407351786338662,0
0,0,1,1,0.5549323835036292,1,0,0,2,2,2,2,2,2,2,1,1,-1.4892529850528666,-0.5980792809634317,0
1,0,1,0,-0.13726465372260913,0,2,1,0,0,0,0,1,0,0,0,1,-1.0306295752854322,-0.5618143232546264,0
1,0,1,1,-0.0965471809445951,1,0,2,0,1,1,0,0,0,0,0,2,0.5745523589005884,0.12726401801816115,0
1,1,0,0,-1.2773538915070017,1,0,2,0,0,0,1,0,0,0,0,0,0.3302855428288029,-0.9743696029474314,0
1,0,1,1,1.3692818390639097,1,1,1,1,0,1,1,1,1,2,1,1,0.6393578407155521,1.51519877497944,0
0,0,0,0,1.3285643662858955,1,1,2,1,1,1,0,1,1,0,1,3,1.5383261910205595,2.130025553420565,0
1,0,0,0,1.6135866757319937,1,1,2,0,1,1,0,1,1,2,1,2,1.20100534977857,2.2854373411428406,0
0,0,0,0,-0.8294616909488475,1,1,2,1,0,0,0,0,0,0,1,0,0.47152825960500555,-0.5979689189497105,1
1,0,1,1,1.5728692029539797,1,1,1,1,1,0,1,0,0,1,1,3,0.06940193654805181,1.0889586055851992,0
1,0,0,0,-1.1144840003949457,1,0,0,2,2,2,2,2,2,0,0,1,-1.4526960465931438,-0.9570869115986824,1
1,0,0,0,0.7992372201717133,1,0,0,2,2,2,2,2,2,2,0,2,-1.45435772561404,-0.5185744862786378,0
0,1,1,0,-0.3001345448346652,1,0,2,0,1,1,0,1,1,0,1,0,1.1212447567755377,0.10267536136106505,1
1,0,0,0,-1.2773538915070017,1,0,0,2,2,2,2,2,2,0,0,1,-1.4809445899483842,-0.9984285219386655,0
0,0,1,1,-1.2773538915070017,1,0,0,2,2,2,2,2,2,0,0,0,-1.5058697752618317,-0.9987596079798293,0
1,0,0,0,0.22919260127951704,1,1,2,0,0,1,1,1,0,1,0,2,1.0049272253127826,0.5843393340461213,0
0,1,1,0,1.3692818390639097,0,2,1,0,1,1,0,1,0,1,0,2,-0.6384733263538579,0.3290278515033642,0
1,0,1,0,1.4507167846199376,1,1,2,0,1,1,1,1,1,2,1,2,1.5034309315817331,2.3528906039292727,1
1,0,0,0,-1.1144840003949457,0,2,1,0,0,0,0,0,0,0,0,1,-1.344686910234871,-0.9631126775478631,0
0,0,1,1,1.6135866757319937,1,1,2,1,1,0,0,1,1,1,1,0,1.3090144861368425,2.216571444580776,0
0,0,0,0,-0.015112235388567064,0,2,1,1,0,0,0,0,0,1,0,1,-1.1502704647899804,-0.5978364845332449,0
1,0,0,0,0.43277996516958717,1,1,2,0,0,0,0,1,1,1,0,1,0.9833253980411278,0.7237044849733254,0
1,0,1,1,1.6135866757319937,1,0,0,2,2,2,2,2,2,2,0,3,-1.5075314542827283,-0.40554171182532583,0
1,0,1,0,0.9213896385057554,1,1,2,1,1,0,0,1,0,0,1,0,1.0630859910441601,1.3053564420898407,1
0,0,0,0,0.7992372201717133,1,0,1,1,0,1,1,0,0,1,0,3,-0.22637692917152524,0.33564957232663967,0
0,0,0,0,0.43277996516958717,1,0,2,0,1,1,0,1,0,0,1,0,0.8935947309127171,0.7381839811735542,0
0,1,1,0,0.18847512850150303,1,1,2,0,0,0,0,0,0,0,1,0,0.39010598758107684,0.25879346597115593,1
0,0,1,1,1.2878468935078815,0,2,1,0,1,0,1,1,1,2,1,0,-0.3377094235715909,0.5039516432515574,0
1,0,1,1,-1.1959189459509736,1,0,2,1,1,0,0,1,0,0,0,0,0.8337742861604427,-0.8976900758139015,0
0,0,0,0,0.147757655723489,0,2,1,1,0,0,0,0,0,2,0,2,-1.1203602424138435,-0.5101207560275894,0
0,0,1,1,-0.9108966365048755,1,1,2,1,0,0,0,1,1,0,1,0,1.1794035225069153,-0.5373581010139957,1
0,0,0,0,0.35134501961355913,1,0,0,2,2,2,2,2,2,2,0,1,-1.4659894787603158,-0.6386704296101101,0
1,0,1,1,-0.21869959927863716,1,1,2,0,1,0,1,0,0,0,1,3,0.6792381372170683,-0.057526137756712406,0
0,0,1,1,0.9621071112837694,1,1,2,0,0,1,0,1,1,1,1,3,1.1644484113188467,1.4274389016682958,0
0,0,0,0,-1.0737665276169315,1,0,0,2,2,2,2,2,2,0,0,1,-1.464327799739419,-0.9575725044590558,0
1,0,0,0,-1.1959189459509736,1,1,2,0,0,0,0,0,0,0,1,0,0.320315468703424,-0.9060113716484843,1
0,0,1,1,-1.0330490548389175,1,0,1,1,0,0,0,0,0,0,0,1,-0.467320387201518,-0.8526844466183728,0
0,0,1,1,-1.1552014731729596,1,0,0,2,2,2,2,2,2,0,0,1,-1.4593427626767297,-0.9795786899950746,0
1,0,0,0,0.025605237389446957,1,0,2,1,0,0,1,1,0,2,1,0,0.8038640637843059,0.32920443072531824,0
0,1,0,0,-0.21869959927863716,1,1,2,0,0,1,0,0,0,0,1,0,0.44161803722886833,-0.06463345144036135,1
1,0,1,0,1.6135866757319937,1,1,0,2,2,2,2,2,2,2,1,2,-1.3696120955483186,-0.24631139842829544,0
1,0,0,0,-1.2773538915070017,1,0,0,2,2,2,2,2,2,0,0,1,-1.4958997011364528,-0.9986271735633637,0
1,1,0,0,1.5728692029539797,0,2,1,1,1,0,0,1,1,1,1,0,-0.2762272997984203,0.7519792328887115,0
0,0,0,0,-0.7887442181708334,1,1,2,0,0,0,0,0,1,0,1,0,0.7041633225305158,-0.4706994447263562,0
0,0,1,1,-0.3001345448346652,0,2,1,1,1,1,0,1,1,0,1,3,-0.20477510189987075,-0.3440038529743526,1
1,0,0,0,1.4099993118419236,1,0,1,0,0,0,1,0,0,2,0,2,-0.4723054242642077,0.4318190310833434,0
1,0,0,0,-1.2773538915070017,0,2,1,0,0,0,0,0,1,0,1,0,-0.974132488574951,-0.9916964391016688,1
1,0,0,0,-1.2366364187289876,1,0,1,0,0,0,0,0,0,0,0,0,-0.6783536228553738,-0.9714781181879344,1
0,0,0,0,0.43277996516958717,1,1,0,2,2,2,2,2,2,2,1,3,-1.2981598976497688,-0.4828171938329503,0
0,0,0,0,-0.3815694903906932,1,0,2,1,0,0,0,0,0,0,1,2,0.34025561695418177,-0.22223040703431707,0
0,0,1,1,1.2878468935078815,1,0,0,2,2,2,2,2,2,2,0,1,-1.4809445899483842,-0.44328552051799586,0
1,0,0,1,1.0028245840617833,1,0,0,2,2,2,2,2,2,2,1,1,-1.5008847381991421,-0.49060875200167114,0
0,1,1,0,-1.2773538915070017,1,0,2,0,0,0,0,0,0,0,1,1,0.18904282605260023,-0.9762457571806927,1
0,1,1,1,1.6135866757319937,1,1,1,1,1,1,1,1,1,2,1,3,0.7739538414081687,1.82924492122465,0
0,0,0,0,-0.9923315820609035,1,1,1,1,0,0,1,0,1,0,0,0,0.21230633234515134,-0.7585235765113958,1
0,0,1,0,1.1656944751738394,1,1,2,0,1,0,0,1,1,2,1,2,1.2059903868412591,1.6286509250848926,0
1,0,0,0,1.2878468935078815,1,1,2,1,1,0,0,0,0,1,1,3,0.649327914840931,1.3274950620423251,0
1,1,1,0,1.5728692029539797,1,1,0,2,2,2,2,2,2,2,0,2,-1.3563186633811464,-0.23207469865825323,0
0,0,1,1,1.3285643662858955,1,1,2,1,1,0,1,1,0,2,1,3,1.1395232260053991,1.8252939611334293,0
1,0,0,0,-1.1959189459509736,1,0,0,2,2,2,2,2,2,1,0,1,-1.5008847381991421,-0.9802629344801465,0
1,0,0,0,-1.2773538915070017,1,0,1,0,0,0,0,0,0,0,1,0,-0.6351499683120648,-0.9871936689418414,1
1,0,0,1,-0.0965471809445951,1,0,1,0,1,1,0,1,0,1,0,3,-0.008696977434083587,-0.15537309912197925,0
1,0,1,1,-0.7073092726148054,1,0,1,0,1,1,1,0,1,0,1,1,0.15747092465556659,-0.5343783266435218,0
0,0,1,1,-0.9923315820609035,1,0,1,0,0,0,1,1,1,0,1,0,0.12589902325853297,-0.7582145628729764,0
1,0,0,0,-1.0330490548389175,1,1,2,0,0,0,0,1,1,0,0,1,1.0049272253127826,-0.7179765726702059,1
0,0,1,1,1.5321517301759657,1,1,2,1,1,1,0,1,1,1,1,3,1.4419488078085627,2.4935800990211323,0
1,0,1,1,1.2064119479518536,1,0,1,1,1,1,1,1,1,2,0,0,0.709148359593205,1.29491619559181,0
0,0,1,1,-1.0737665276169315,1,0,0,2,2,2,2,2,2,0,0,1,-1.497561380157349,-0.9572414184178921,0
0,0,1,1,-0.7480267453928194,1,0,2,0,0,0,0,0,1,0,1,2,0.5363337414199691,-0.4984444549758804,0
0,0,0,0,-0.42228696316870723,1,1,2,0,0,0,0,1,0,0,1,2,0.6443428777782418,-0.2030494890495625,0
1,0,1,1,-0.42228696316870723,1,0,0,2,2,2,2,2,2,1,0,1,-1.4826062689692807,-0.8219817344011189,0
1,0,1,1,-0.6665917998367914,1,0,1,1,0,1,0,1,0,2,0,1,-0.017005372538566096,-0.5553029644450722,0
1,0,0,0,-0.9108966365048755,1,1,0,2,2,2,2,2,2,2,0,2,-1.2981598976497688,-0.8962774420382695,0
0,0,0,1,-0.7887442181708334,1,0,1,1,1,0,0,0,0,0,1,0,-0.2911824109864889,-0.6698366622849933,0
0,0,1,0,-0.5037219087247353,1,1,2,1,0,0,0,0,0,0,0,0,0.5861841120468643,-0.30440596245116547,1
0,0,0,0,-1.2366364187289876,1,0,2,0,0,0,0,0,0,0,1,0,0.1641176407391527,-0.947661995626887,0
1,0,0,0,0.8399546929497274,1,1,1,0,1,1,1,0,1,2,1,2,0.3036986784944589,0.7400159906013272,0
0,0,1,1,-0.8701791637268614,1,0,0,2,2,2,2,2,2,1,0,1,-1.4676511577812121,-0.9040910726097344,0
1,0,1,0,1.4914342573979515,1,0,0,2,2,2,2,2,2,2,0,1,-1.4909146640737632,-0.40545342221434877,0
0,0,0,0,-1.1552014731729596,1,0,2,0,0,0,0,0,0,0,1,2,0.20399793724066884,-0.8868304536637298,1
1,0,1,0,1.6135866757319937,1,1,1,1,1,1,1,1,1,2,1,2,0.8071874218260987,1.753669014228333,0
1,1,1,0,1.0435420568397975,0,2,1,0,1,1,0,0,1,0,1,0,-0.6467817214583403,0.16302131046384857,1
0,0,1,1,-0.6665917998367914,1,0,0,2,2,2,2,2,2,0,0,0,-1.4742978738647983,-0.8654643678072943,0
1,0,1,0,0.43277996516958717,1,0,2,1,0,1,1,0,0,1,1,2,0.6476662358200347,0.5550492556044996,0
0,0,1,0,-1.2366364187289876,1,1,2,0,0,1,1,1,1,0,1,0,1.3173228812413251,-0.9001621849212578,1
1,0,1,0,-0.7480267453928194,1,0,1,0,1,1,1,1,1,2,0,1,0.5712290008587957,-0.4856645337869588,0
0,0,1,0,0.8399546929497274,1,0,2,0,0,1,0,1,1,1,1,2,0.9999421882500928,1.1999827913887842,1
0,0,0,0,-0.015112235388567064,1,0,0,2,2,2,2,2,2,1,0,2,-1.469312836802109,-0.7183959483223467,0
0,0,1,0,0.06632271016746097,1,1,0,2,2,2,2,2,2,0,0,0,-1.331393478067699,-0.6629280002260426,0
0,1,0,0,-0.7073092726148054,1,1,2,0,0,0,0,0,0,0,1,1,0.32197714772432035,-0.501578736165564,1
0,1,0,0,-1.0330490548389175,1,0,2,1,0,0,0,0,0,0,0,2,0.3884443085601804,-0.7850325322072419,1
0,0,1,1,-0.7073092726148054,1,1,2,0,1,1,0,1,1,0,1,2,1.3488947826383582,-0.31901789306785994,0
1,0,1,0,1.1656944751738394,1,0,0,2,2,2,2,2,2,1,1,3,-1.469312836802109,-0.45465280793128543,0
0,0,0,0,-1.2773538915070017,0,2,1,0,1,0,0,0,0,0,0,2,-1.1569171808735663,-0.9941244034035365,1
0,0,0,0,-1.2773538915070017,1,0,1,0,0,0,0,0,0,0,0,1,-0.6467817214583403,-0.987348175761051,0
1,0,0,0,-0.9923315820609035,1,1,2,0,0,0,0,0,1,0,0,2,0.6559746309245171,-0.7148202190777778,1
1,0,1,1,0.025605237389446957,1,0,1,1,0,1,0,1,1,1,0,3,0.33194722184969927,0.07565874040210128,0
0,0,0,0,-0.7887442181708334,1,0,2,0,1,1,0,0,0,0,1,0,0.4814983337303845,-0.5166100424343993,1
0,0,1,0,-1.2773538915070017,0,2,1,0,0,0,0,0,0,0,1,0,-1.3280701200259062,-0.9963978608861942,1
1,0,0,0,-0.5037219087247353,1,0,1,0,1,0,0,0,0,0,1,1,-0.4307634487417951,-0.5553691816533051,0
1,0,0,0,-1.1959189459509736,0,2,1,0,0,0,1,0,0,0,0,0,-1.141962069685498,-0.9710808149385378,0
0,0,0,0,-0.7887442181708334,1,0,0,2,2,2,2,2,2,1,0,0,-1.4992230591782458,-0.8992792888114877,0
0,0,1,0,0.3106275468355451,1,1,1,0,1,0,0,0,0,0,0,3,-0.2712422627357308,0.04290329472963193,0
1,0,1,1,0.43277996516958717,1,1,1,1,0,0,1,0,1,1,1,3,0.23723151765859887,0.39352341232206706,0
1,0,1,0,-1.0737665276169315,1,0,2,0,1,1,0,0,1,0,1,0,0.8719929036410624,-0.7729368555033921,1
0,0,1,1,1.4914342573979515,1,0,0,2,2,2,2,2,2,2,0,2,-1.4958997011364528,-0.40017811795847263,0
0,0,1,1,1.6135866757319937,1,1,2,1,1,1,0,1,1,2,0,3,1.4934608574563542,2.581317899929532,0
1,0,1,1,1.0842595296178115,1,0,0,2,2,2,2,2,2,2,0,3,-1.5108548123245213,-0.48083067758596765,0
0,0,1,0,-0.5037219087247353,1,0,2,1,1,0,1,1,0,0,1,0,1.056439274960574,-0.16786607907522558,0
1,0,1,1,-0.3408520176126792,1,1,0,2,2,2,2,2,2,2,1,2,-1.351333626318457,-0.7480391852078764,0
1,0,0,0,1.0842595296178115,1,1,2,0,1,1,1,1,1,0,1,0,1.5482962651459384,1.8707851831893314,0
1,0,1,1,1.6135866757319937,1,1,2,0,1,1,1,1,1,2,1,2,1.5782064875220756,2.5426249779188583,0
1,0,0,1,-1.2773538915070017,1,0,0,2,2,2,2,2,2,0,0,1,-1.4626661207185228,-0.9981857255084786,0
0,0,1,0,-0.21869959927863716,1,0,2,1,0,0,1,1,1,1,1,3,1.2342389301965,0.17624267970765534,0
0,0,0,0,-0.7480267453928194,1,0,2,0,1,0,1,0,0,0,1,3,0.5080851980647284,-0.5163231011987242,0
1,0,1,1,1.5728692029539797,1,1,2,1,0,1,0,1,1,2,0,0,1.3555414987219443,2.2617977978037467,0
1,0,0,1,-0.7887442181708334,1,0,2,0,0,0,0,1,0,0,1,3,0.44992643233335083,-0.5509105562989662,0
1,0,0,0,0.4734974379476012,1,0,2,0,0,0,0,0,0,0,0,3,0.13586909738391187,0.2988769493547166,0
0,0,0,0,0.025605237389446957,1,0,2,0,1,0,1,0,0,1,1,2,0.5047618400229356,0.17787603751072986,0
1,0,1,1,1.6135866757319937,0,2,1,1,1,1,1,0,1,2,1,3,-0.3094608802163503,0.8375539383281745,0
1,0,0,0,-1.2773538915070017,1,0,2,0,0,0,0,0,1,0,0,0,0.5031001610020391,-0.9720740730620291,1
0,0,0,0,-0.5444393815027493,1,0,2,1,0,1,1,1,1,0,1,0,1.3904367581607708,-0.15338658287499662,1
1,0,1,0,1.2878468935078815,1,0,2,0,1,1,1,1,1,1,1,3,1.2525173994263614,1.9300937293631355,0
1,0,0,0,-1.2366364187289876,1,0,1,0,0,0,0,0,0,0,1,3,-0.6235182151657893,-0.970043412009558,1
0,0,0,0,-1.2773538915070017,0,2,1,0,0,0,0,0,0,0,0,0,-1.3131150088378376,-0.996199209261496,0
1,0,0,1,1.1656944751738394,1,0,0,2,2,2,2,2,2,2,0,1,-1.4958997011364528,-0.5110698693455922,0
0,0,1,1,-0.13726465372260913,1,0,0,2,2,2,2,2,2,1,0,0,-1.4875913060319703,-0.7689417506066826,0
1,1,1,0,-0.3815694903906932,1,1,2,0,0,0,0,0,1,0,0,0,0.7324118658857561,-0.13511063340275645,0
0,0,1,0,1.0028245840617833,0,2,1,1,1,1,0,1,1,0,1,2,-0.19979006483718129,0.5101098436172035,0
1,0,1,1,1.6135866757319937,0,2,1,1,1,1,1,0,0,2,0,3,-0.6484434004792368,0.3787128300806744,0
1,0,1,0,1.3692818390639097,0,2,1,1,1,1,1,1,0,2,1,2,-0.2712422627357308,0.6653891969230128,0
1,0,1,1,1.3285643662858955,1,1,1,0,1,1,1,1,1,2,1,2,0.6460045567991383,1.3431443955879996,0
0,0,0,0,-0.9923315820609035,1,0,2,0,0,0,0,1,0,0,1,2,0.506423519043832,-0.7316173175661533,0
